,K01,K02,K03,K04,K05,K06,K07,K08,K09,K10
T0022,21.2953333333333,19.1658,14.9067333333333,17.0362666666667,21.2953333333333,19.1658,17.0362666666667,25.5544,17.0362666666667,40.4611333333334
T0023,23.1028,9.62616666666667,15.4018666666667,13.4766333333333,17.3271,21.1775666666667,23.1028,11.5514,19.2523333333333,38.5046666666667
T0024,10.7926,14.3901333333333,17.9876666666667,17.9876666666667,14.3901333333333,19.7864333333333,10.7926,10.7926,16.1889,46.7679333333333
T0025,8.87633333333333,10.6516,15.9774,17.7526666666667,19.5279333333333,10.6516,19.5279333333333,19.5279333333333,14.2021333333333,40.8311333333333
T0026,14.0954666666667,21.1432,12.3335333333333,19.3812666666667,10.5716,10.5716,14.0954666666667,17.6193333333333,14.0954666666667,42.2864
T0027,10.6656,17.776,21.3312,8.888,10.6656,12.4432,8.888,19.5536,10.6656,56.8832
T0028,17.6003333333333,8.80016666666667,19.3603666666667,14.0802666666667,21.1204,19.3603666666667,8.80016666666667,10.5602,8.80016666666667,47.5209
T0029,16.4184,9.12133333333333,9.12133333333333,10.9456,10.9456,14.5941333333333,21.8912,16.4184,9.12133333333333,63.8493333333333
T0030,11.6152,21.2945333333333,11.6152,23.2304,9.67933333333333,19.3586666666667,13.5510666666667,17.4228,11.6152,54.2042666666667
T0031,25.1256,10.469,16.7504,10.469,20.938,14.6566,14.6566,12.5628,18.8442,64.9078
T0032,17.4005333333333,17.4005333333333,26.1008,15.2254666666667,23.9257333333333,21.7506666666667,10.8753333333333,26.1008,15.2254666666667,43.5013333333333
T0033,10.9651666666667,26.3164,10.9651666666667,13.1582,17.5442666666667,24.1233666666667,15.3512333333333,15.3512333333333,13.1582,72.3701
T0034,13.5782,13.5782,20.3673,22.6303333333333,11.3151666666667,18.1042666666667,13.5782,24.8933666666667,22.6303333333333,65.6279666666667
T0035,14.0504,25.7590666666667,11.7086666666667,18.7338666666667,14.0504,14.0504,14.0504,16.3921333333333,14.0504,91.3276
T0036,18.5296,16.2134,23.162,23.162,18.5296,16.2134,20.8458,27.7944,27.7944,39.3754
T0037,13.8754,18.5005333333333,13.8754,25.4382333333333,13.8754,11.5628333333333,11.5628333333333,27.7508,13.8754,80.9398333333334
T0038,14.1354,11.7795,23.559,16.4913,25.9149,28.2708,25.9149,14.1354,28.2708,47.118
T0039,22.459,20.2131,13.4754,13.4754,11.2295,11.2295,24.7049,13.4754,26.9508,67.377
T0040,20.6931,11.4961666666667,11.4961666666667,25.2915666666667,13.7954,16.0946333333333,25.2915666666667,13.7954,25.2915666666667,66.6777666666666
T0041,25.1449,18.2872,18.2872,13.7154,20.5731,11.4295,25.1449,25.1449,20.5731,50.2898
T0042,18.6338666666667,13.9754,13.9754,18.6338666666667,13.9754,20.9631,25.6215666666667,11.6461666666667,25.6215666666667,69.877
T0043,18.6605333333333,27.9908,11.6628333333333,20.9931,27.9908,27.9908,25.6582333333333,20.9931,25.6582333333333,25.6582333333334
T0044,11.4961666666667,27.5908,20.6931,13.7954,22.9923333333333,25.2915666666667,27.5908,13.7954,20.6931,45.9846666666667
T0045,24.7049,24.7049,13.4754,15.7213,22.459,20.2131,24.7049,15.7213,22.459,40.4262
T0046,24.4042333333333,11.0928333333333,26.6228,22.1856666666667,17.7485333333333,24.4042333333333,11.0928333333333,15.5299666666667,22.1856666666667,46.5899
T0047,16.3349333333333,20.4186666666667,12.2512,10.2093333333333,24.5024,12.2512,16.3349333333333,16.3349333333333,20.4186666666667,55.1304
T0048,19.6173333333333,19.6173333333333,13.7321333333333,9.80866666666667,21.5790666666667,23.5408,23.5408,15.6938666666667,19.6173333333333,29.426
T0049,13.4551666666667,23.066,13.4551666666667,9.61083333333333,15.3773333333333,17.2995,15.3773333333333,21.1438333333333,15.3773333333333,48.0541666666667
T0050,23.258,11.629,17.4435,21.3198333333333,19.3816666666667,17.4435,15.5053333333333,23.258,23.258,21.3198333333334
T0051,19.7483333333333,13.8238333333333,11.849,23.698,11.849,19.7483333333333,9.87416666666667,23.698,19.7483333333333,43.4463333333333
T0052,19.7173333333333,19.7173333333333,9.85866666666667,11.8304,23.6608,13.8021333333333,19.7173333333333,17.7456,23.6608,37.4629333333333
T0053,19.955,17.9595,15.964,21.9505,21.9505,21.9505,17.9595,21.9505,15.964,23.946
T0054,10.4596666666667,16.7354666666667,23.0112666666667,25.1032,10.4596666666667,14.6435333333333,25.1032,25.1032,14.6435333333333,43.9306
T0055,17.6992,11.062,19.9116,19.9116,26.5488,15.4868,13.2744,19.9116,19.9116,57.5224
T0056,25.6982,18.6896,23.362,28.0344,28.0344,14.0172,16.3534,14.0172,11.681,53.7325999999999
T0057,28.3144,25.9548666666667,11.7976666666667,23.5953333333333,16.5167333333333,16.5167333333333,11.7976666666667,23.5953333333333,21.2358,56.6288
T0058,16.8900666666667,28.9544,24.1286666666667,12.0643333333333,24.1286666666667,21.7158,14.4772,24.1286666666667,19.3029333333333,55.4959333333333
T0059,27.0845666666667,17.2356333333333,12.3111666666667,22.1601,12.3111666666667,17.2356333333333,14.7734,12.3111666666667,27.0845666666667,83.7159333333334
T0060,12.9778333333333,18.1689666666667,12.9778333333333,15.5734,18.1689666666667,31.1468,31.1468,23.3601,25.9556666666667,70.0803
T0061,20.1488,17.6302,17.6302,22.6674,15.1116,17.6302,20.1488,12.593,22.6674,85.6324
T0062,30.1068,15.0534,15.0534,30.1068,12.5445,30.1068,12.5445,15.0534,12.5445,77.7759
T0063,17.2587333333333,19.7242666666667,24.6553333333333,14.7932,17.2587333333333,27.1208666666667,14.7932,12.3276666666667,19.7242666666667,78.8970666666666
T0064,14.8344,27.1964,24.724,14.8344,27.1964,19.7792,29.6688,24.724,24.724,39.5584
T0065,26.7564,26.7564,24.324,26.7564,24.324,29.1888,26.7564,17.0268,12.162,29.1888
T0066,21.888,14.592,14.592,17.024,24.32,26.752,17.024,26.752,21.888,58.368
T0067,21.8874,29.1832,12.1596666666667,29.1832,19.4554666666667,26.7512666666667,14.5916,29.1832,12.1596666666667,48.6386666666666
T0068,24.5543333333333,29.4652,27.0097666666667,14.7326,29.4652,14.7326,24.5543333333333,14.7326,14.7326,51.5641
T0069,29.9428,17.4666333333333,24.9523333333333,27.4475666666667,14.9714,22.4571,27.4475666666667,24.9523333333333,19.9618666666667,39.9237333333333
T0070,19.1330666666667,23.9163333333333,16.7414333333333,14.3498,19.1330666666667,11.9581666666667,14.3498,23.9163333333333,26.3079666666667,69.3573666666667
T0071,23.7152666666667,17.2474666666667,23.7152666666667,23.7152666666667,21.5593333333333,23.7152666666667,23.7152666666667,10.7796666666667,12.9356,34.4949333333333
T0072,10.163,24.3912,16.2608,24.3912,24.3912,16.2608,20.326,10.163,16.2608,40.652
T0073,10.163,14.2282,22.3586,12.1956,10.163,24.3912,18.2934,10.163,10.163,71.141
T0074,14.2048666666667,24.3512,22.3219333333333,10.1463333333333,20.2926666666667,20.2926666666667,24.3512,14.2048666666667,18.2634,34.4975333333333
T0075,24.1964,22.1800333333333,18.1473,12.0982,14.1145666666667,18.1473,10.0818333333333,14.1145666666667,24.1964,44.3600666666667
T0076,12.1372,24.2744,14.1600666666667,18.2058,18.2058,18.2058,14.1600666666667,24.2744,22.2515333333333,36.4116
T0077,12.673,16.8973333333333,25.346,12.673,10.5608333333333,14.7851666666667,10.5608333333333,25.346,21.1216666666667,61.2528333333333
T0078,15.9247666666667,22.7496666666667,27.2996,22.7496666666667,11.3748333333333,18.1997333333333,18.1997333333333,15.9247666666667,27.2996,47.7743
T0079,19.1330666666667,14.3498,28.6996,23.9163333333333,21.5247,16.7414333333333,14.3498,28.6996,16.7414333333333,55.0075666666667
T0080,27.0387333333333,27.0387333333333,19.6645333333333,27.0387333333333,12.2903333333333,27.0387333333333,24.5806666666667,14.7484,27.0387333333333,39.3290666666667
T0081,20.1490666666667,17.6304333333333,12.5931666666667,17.6304333333333,30.2236,27.7049666666667,22.6677,22.6677,27.7049666666667,52.8913
T0082,18.6356333333333,26.6223333333333,18.6356333333333,29.2845666666667,21.2978666666667,13.3111666666667,29.2845666666667,29.2845666666667,26.6223333333333,53.2446666666666
T0083,21.2992,21.2992,23.9616,15.9744,29.2864,21.2992,18.6368,18.6368,31.9488,63.8976
T0084,27.7042333333333,12.5928333333333,15.1114,22.6671,15.1114,17.6299666666667,15.1114,22.6671,22.6671,80.5941333333333
T0085,19.0557333333333,11.9098333333333,23.8196666666667,21.4377,21.4377,21.4377,14.2918,14.2918,14.2918,76.2229333333333
T0086,11.7603333333333,18.8165333333333,23.5206666666667,11.7603333333333,16.4644666666667,21.1686,21.1686,23.5206666666667,14.1124,72.9140666666667
T0087,28.984,14.492,19.3226666666667,24.1533333333333,12.0766666666667,16.9073333333333,12.0766666666667,16.9073333333333,16.9073333333333,79.706
T0088,27.1197666666667,17.2580333333333,24.6543333333333,14.7926,27.1197666666667,29.5852,12.3271666666667,17.2580333333333,17.2580333333333,59.1703999999999
T0089,27.7464,15.1344,20.1792,27.7464,17.6568,22.7016,12.612,12.612,30.2688,65.5824
T0090,28.1479,15.3534,12.7945,20.4712,15.3534,12.7945,12.7945,17.9123,20.4712,99.7971
T0091,25.5556666666667,28.1112333333333,30.6668,30.6668,15.3334,12.7778333333333,30.6668,20.4445333333333,17.8889666666667,43.4446333333333
T0092,22.9101,12.7278333333333,20.3645333333333,12.7278333333333,30.5468,15.2734,25.4556666666667,15.2734,28.0012333333333,71.2758666666666
T0093,27.4145666666667,24.9223333333333,22.4301,24.9223333333333,12.4611666666667,24.9223333333333,19.9378666666667,14.9534,22.4301,54.8291333333334
T0094,26.4946,19.2688,19.2688,24.086,12.043,26.4946,19.2688,12.043,19.2688,62.6236
T0095,24.519,20.061,11.145,22.29,17.832,20.061,26.748,22.29,17.832,40.122
T0096,24.6364,10.2651666666667,20.5303333333333,14.3712333333333,14.3712333333333,20.5303333333333,10.2651666666667,24.6364,16.4242666666667,49.2728
T0097,13.9279,19.897,9.9485,13.9279,9.9485,17.9073,13.9279,9.9485,13.9279,75.6086
T0098,21.7077666666667,13.8140333333333,13.8140333333333,19.7343333333333,9.86716666666667,9.86716666666667,11.8406,9.86716666666667,21.7077666666667,65.1233
T0099,24.1164,22.1067,18.0873,10.0485,18.0873,24.1164,24.1164,12.0582,10.0485,38.1843
T0100,12.5168,22.9474666666667,22.9474666666667,10.4306666666667,25.0336,10.4306666666667,12.5168,22.9474666666667,14.6029333333333,54.2394666666667
T0101,17.0642666666667,21.3303333333333,17.0642666666667,21.3303333333333,12.7982,17.0642666666667,17.0642666666667,17.0642666666667,14.9312333333333,57.5919
T0102,20.3259,24.8427666666667,20.3259,18.0674666666667,20.3259,18.0674666666667,11.2921666666667,24.8427666666667,22.5843333333333,45.1686666666667
T0103,21.2577,18.8957333333333,14.1718,18.8957333333333,28.3436,18.8957333333333,14.1718,11.8098333333333,23.6196666666667,66.1350666666666
T0104,17.2547666666667,22.1847,29.5796,24.6496666666667,19.7197333333333,27.1146333333333,17.2547666666667,29.5796,29.5796,29.5796
T0105,22.2168,29.6224,27.1538666666667,29.6224,27.1538666666667,12.3426666666667,29.6224,24.6853333333333,17.2797333333333,27.1538666666666
T0106,15.3326,28.1097666666667,15.3326,12.7771666666667,30.6652,28.1097666666667,12.7771666666667,15.3326,30.6652,66.4412666666666
T0107,26.0906666666667,13.0453333333333,18.2634666666667,26.0906666666667,18.2634666666667,26.0906666666667,15.6544,20.8725333333333,28.6997333333333,67.8357333333333
T0108,12.4461666666667,19.9138666666667,22.4031,14.9354,27.3815666666667,12.4461666666667,17.4246333333333,24.8923333333333,27.3815666666667,69.6985333333333
T0109,22.1268,19.6682666666667,17.2097333333333,17.2097333333333,17.2097333333333,27.0438666666667,17.2097333333333,12.2926666666667,19.6682666666667,76.2145333333333
T0110,16.9768666666667,16.9768666666667,26.6779333333333,12.1263333333333,19.4021333333333,21.8274,21.8274,19.4021333333333,21.8274,65.4822
T0111,12.0596666666667,26.5312666666667,24.1193333333333,21.7074,14.4716,14.4716,14.4716,24.1193333333333,28.9432,60.2983333333333
T0112,28.7068,16.7456333333333,28.7068,11.9611666666667,21.5301,11.9611666666667,19.1378666666667,28.7068,28.7068,43.0602
T0113,12.7438333333333,17.8413666666667,15.2926,15.2926,12.7438333333333,28.0364333333333,15.2926,12.7438333333333,12.7438333333333,112.145733333333
T0114,20.5512,12.8445,12.8445,15.4134,30.8268,25.689,30.8268,28.2579,28.2579,51.378
T0115,20.3125333333333,15.2344,15.2344,27.9297333333333,22.8516,25.3906666666667,15.2344,30.4688,12.6953333333333,68.5548
T0116,20.4821333333333,28.1629333333333,15.3616,28.1629333333333,23.0424,17.9218666666667,15.3616,28.1629333333333,12.8013333333333,66.5669333333333
T0117,12.1453333333333,12.1453333333333,17.0034666666667,26.7197333333333,29.1488,29.1488,19.4325333333333,21.8616,12.1453333333333,63.1557333333333
T0118,23.5906666666667,11.7953333333333,23.5906666666667,28.3088,25.9497333333333,25.9497333333333,23.5906666666667,25.9497333333333,23.5906666666667,23.5906666666667
T0119,22.359,20.1231,24.5949,17.8872,11.1795,17.8872,15.6513,13.4154,22.359,58.1334
T0120,12.0324,24.0648,20.054,10.027,22.0594,24.0648,16.0432,24.0648,18.0486,30.081
T0121,17.9286,17.9286,9.96033333333333,23.9048,13.9444666666667,9.96033333333333,13.9444666666667,21.9127333333333,13.9444666666667,55.7778666666667
T0122,14.3180333333333,10.2271666666667,16.3634666666667,14.3180333333333,14.3180333333333,12.2726,20.4543333333333,16.3634666666667,12.2726,73.6356
T0123,16.3634666666667,14.3180333333333,14.3180333333333,18.4089,24.5452,10.2271666666667,18.4089,20.4543333333333,12.2726,55.2267
T0124,20.7186666666667,18.6468,16.5749333333333,22.7905333333333,22.7905333333333,12.4312,20.7186666666667,14.5030666666667,12.4312,45.5810666666667
T0125,17.1349333333333,14.9930666666667,25.7024,12.8512,10.7093333333333,23.5605333333333,21.4186666666667,12.8512,23.5605333333333,51.4048
T0126,11.8591666666667,11.8591666666667,23.7183333333333,26.0901666666667,28.462,14.231,16.6028333333333,23.7183333333333,28.462,52.1803333333333
T0127,22.6653,30.2204,27.7020333333333,22.6653,22.6653,22.6653,15.1102,17.6285666666667,30.2204,40.2938666666667
T0128,31.54,31.54,15.77,21.0266666666667,26.2833333333333,28.9116666666667,18.3983333333333,21.0266666666667,23.655,44.6816666666667
T0129,18.7845,29.5185,18.7845,26.835,13.4175,13.4175,18.7845,29.5185,21.468,77.8215
T0130,24.0015,29.3351666666667,29.3351666666667,13.3341666666667,16.001,16.001,29.3351666666667,21.3346666666667,32.002,56.0035
T0131,20.9576,26.197,15.7182,20.9576,18.3379,28.8167,15.7182,26.197,20.9576,68.1122
T0132,12.7255,30.5412,22.9059,25.451,25.451,20.3608,20.3608,12.7255,15.2706,68.7177
T0133,24.4186666666667,24.4186666666667,29.3024,19.5349333333333,17.0930666666667,17.0930666666667,17.0930666666667,17.0930666666667,21.9768,56.1629333333333
T0134,21.9501,17.0723,19.5112,21.9501,29.2668,21.9501,12.1945,17.0723,14.6334,68.2892
T0135,22.1331,27.0515666666667,22.1331,19.6738666666667,22.1331,19.6738666666667,17.2146333333333,27.0515666666667,29.5108,39.3477333333333
T0136,14.7144,12.262,22.0716,19.6192,26.9764,29.4288,17.1668,14.7144,19.6192,68.6672
T0137,17.7501333333333,17.7501333333333,25.3573333333333,30.4288,30.4288,25.3573333333333,22.8216,17.7501333333333,15.2144,50.7146666666667
T0138,14.9744,24.9573333333333,19.9658666666667,29.9488,27.4530666666667,12.4786666666667,19.9658666666667,17.4701333333333,24.9573333333333,57.4018666666667
T0139,15.1744,25.2906666666667,17.7034666666667,17.7034666666667,17.7034666666667,20.2325333333333,30.3488,30.3488,27.8197333333333,50.5813333333333
T0140,30.3488,20.2325333333333,15.1744,17.7034666666667,17.7034666666667,17.7034666666667,22.7616,17.7034666666667,15.1744,78.4010666666666
T0141,25.8731,14.1126,28.2252,14.1126,16.4647,25.8731,25.8731,23.521,21.1689,39.9857
T0142,19.5486,26.0648,15.2044666666667,21.7206666666667,21.7206666666667,17.3765333333333,10.8603333333333,15.2044666666667,17.3765333333333,52.1296
T0143,18.8532,16.7584,20.948,25.1376,12.5688,16.7584,20.948,20.948,12.5688,43.9908
T0144,18.3192,20.3546666666667,14.2482666666667,12.2128,24.4256,18.3192,24.4256,24.4256,10.1773333333333,36.6384
T0145,15.5442666666667,11.6582,11.6582,15.5442666666667,11.6582,21.3733666666667,15.5442666666667,13.6012333333333,15.5442666666667,62.1770666666667
T0146,23.0064,23.0064,13.4204,9.586,21.0892,15.3376,19.172,11.5032,17.2548,38.344
T0147,9.8985,23.7564,23.7564,23.7564,17.8173,17.8173,23.7564,19.797,11.8782,25.7361
T0148,22.3215666666667,20.2923333333333,22.3215666666667,10.1461666666667,24.3508,12.1754,22.3215666666667,10.1461666666667,20.2923333333333,38.5554333333333
T0149,10.742,23.6324,17.1872,10.742,19.3356,19.3356,19.3356,10.742,25.7808,58.0068
T0150,22.814,11.407,20.5326,11.407,18.2512,25.0954,11.407,27.3768,13.6884,66.1606
T0151,25.6087333333333,23.2806666666667,11.6403333333333,16.2964666666667,16.2964666666667,27.9368,25.6087333333333,11.6403333333333,16.2964666666667,58.2016666666667
T0152,19.6458666666667,22.1016,14.7344,19.6458666666667,14.7344,29.4688,22.1016,22.1016,22.1016,58.9376
T0153,20.4288,12.768,28.0896,22.9824,28.0896,22.9824,28.0896,12.768,22.9824,56.1792
T0154,30.6652,15.3326,30.6652,25.5543333333333,20.4434666666667,25.5543333333333,28.1097666666667,17.8880333333333,12.7771666666667,48.5532333333333
T0155,20.0034666666667,30.0052,20.0034666666667,20.0034666666667,30.0052,20.0034666666667,17.5030333333333,27.5047666666667,20.0034666666667,45.0078
T0156,19.0832,19.0832,14.3124,23.854,19.0832,19.0832,26.2394,23.854,21.4686,52.4788
T0157,16.1798,18.4912,18.4912,13.8684,20.8026,16.1798,13.8684,13.8684,25.4254,73.9648
T0158,11.7663333333333,11.7663333333333,25.8859333333333,21.1794,16.4728666666667,23.5326666666667,16.4728666666667,21.1794,21.1794,65.8914666666667
T0159,11.743,14.0916,11.743,18.7888,23.486,18.7888,11.743,11.743,25.8346,86.8982
T0160,23.4526666666667,21.1074,11.7263333333333,23.4526666666667,14.0716,11.7263333333333,18.7621333333333,14.0716,11.7263333333333,84.4296
T0161,11.9763333333333,26.3479333333333,28.7432,26.3479333333333,23.9526666666667,23.9526666666667,26.3479333333333,19.1621333333333,26.3479333333333,26.3479333333334
T0162,16.6035333333333,26.0912666666667,18.9754666666667,28.4632,23.7193333333333,28.4632,28.4632,23.7193333333333,11.8596666666667,30.8351333333333
T0163,25.4526666666667,27.9979333333333,22.9074,27.9979333333333,27.9979333333333,22.9074,22.9074,27.9979333333333,20.3621333333333,27.9979333333334
T0164,25.1193333333333,22.6074,22.6074,15.0716,17.5835333333333,20.0954666666667,20.0954666666667,12.5596666666667,22.6074,72.8460666666667
T0165,28.3848,16.5578,23.654,26.0194,16.5578,26.0194,21.2886,11.827,16.5578,49.6734
T0166,13.2688,26.5376,17.6917333333333,15.4802666666667,24.3261333333333,17.6917333333333,15.4802666666667,11.0573333333333,17.6917333333333,61.9210666666666
T0167,18.732,24.976,20.8133333333333,20.8133333333333,22.8946666666667,24.976,20.8133333333333,20.8133333333333,22.8946666666667,10.4066666666667
T0168,19.7883333333333,9.89416666666667,21.7671666666667,23.746,13.8518333333333,17.8095,17.8095,15.8306666666667,17.8095,39.5766666666667
T0169,21.0158666666667,17.1948,22.9264,13.3737333333333,15.2842666666667,15.2842666666667,11.4632,15.2842666666667,9.55266666666667,49.6738666666666
T0170,14.9944,9.3715,18.743,22.4916,16.8687,22.4916,13.1201,18.743,14.9944,35.6117
T0171,15.2176,17.1198,9.511,20.9242,20.9242,9.511,20.9242,22.8264,17.1198,36.1418
T0172,9.93066666666667,21.8474666666667,11.9168,21.8474666666667,19.8613333333333,11.9168,23.8336,9.93066666666667,19.8613333333333,47.6672
T0173,18.021,16.0186666666667,10.0116666666667,24.028,14.0163333333333,24.028,24.028,24.028,22.0256666666667,24.028
T0174,23.9638666666667,17.4282666666667,10.8926666666667,17.4282666666667,10.8926666666667,23.9638666666667,13.0712,21.7853333333333,13.0712,65.356
T0175,11.6765,11.6765,18.6824,25.6883,16.3471,16.3471,18.6824,14.0118,21.0177,79.4002
T0176,24.3196666666667,17.0237666666667,26.7516333333333,17.0237666666667,12.1598333333333,19.4557333333333,12.1598333333333,19.4557333333333,29.1836,65.6631
T0177,21.9471,17.0699666666667,24.3856666666667,12.1928333333333,19.5085333333333,17.0699666666667,26.8242333333333,19.5085333333333,19.5085333333333,65.8413
T0178,28.9432,26.5312666666667,16.8835333333333,28.9432,12.0596666666667,26.5312666666667,26.5312666666667,12.0596666666667,14.4716,48.2386666666667
T0179,21.1074,18.7621333333333,14.0716,18.7621333333333,16.4168666666667,25.7979333333333,16.4168666666667,25.7979333333333,11.7263333333333,65.6674666666666
T0180,11.693,25.7246,25.7246,11.693,21.0474,16.3702,11.693,18.7088,25.7246,65.4808
T0181,28.1032,14.0516,16.3935333333333,11.7096666666667,11.7096666666667,14.0516,25.7612666666667,25.7612666666667,21.0774,65.5741333333334
T0182,29.0232,29.0232,12.093,21.7674,29.0232,16.9302,12.093,14.5116,21.7674,55.6278
T0183,16.6989666666667,19.0845333333333,26.2412333333333,19.0845333333333,23.8556666666667,23.8556666666667,16.6989666666667,16.6989666666667,28.6268,47.7113333333333
T0184,21.7701,24.189,19.3512,19.3512,24.189,26.6079,26.6079,16.9323,12.0945,50.7969
T0185,11.7596666666667,11.7596666666667,28.2232,25.8712666666667,25.8712666666667,21.1674,21.1674,23.5193333333333,11.7596666666667,54.0944666666667
T0186,27.7468,20.8101,27.7468,13.8734,18.4978666666667,18.4978666666667,25.4345666666667,25.4345666666667,25.4345666666667,27.7468
T0187,18.4168,11.5105,18.4168,27.6252,23.021,25.3231,16.1147,27.6252,18.4168,43.7399
T0188,16.6513666666667,14.2726,14.2726,11.8938333333333,26.1664333333333,21.4089,16.6513666666667,16.6513666666667,23.7876666666667,76.1205333333333
T0189,13.9926,27.9852,18.6568,25.6531,13.9926,20.9889,13.9926,25.6531,23.321,48.9741
T0190,23.4531,23.4531,23.4531,14.9247,23.4531,17.0568,12.7926,12.7926,12.7926,49.0383
T0191,20.948,14.6636,14.6636,23.0428,20.948,20.948,23.0428,12.5688,23.0428,35.6116
T0192,17.5392,15.5904,13.6416,9.744,23.3856,21.4368,15.5904,11.6928,11.6928,54.5664
T0193,9.2005,12.8807,11.0406,9.2005,18.401,12.8807,14.7208,11.0406,16.5609,68.0837
T0194,19.6911,21.4812,19.6911,17.901,19.6911,17.901,14.3208,17.901,21.4812,8.95050000000003
T0195,14.3957333333333,19.7941333333333,21.5936,10.7968,17.9946666666667,19.7941333333333,14.3957333333333,8.99733333333334,12.5962666666667,39.5882666666667
T0196,16.2273,12.6212333333333,16.2273,14.4242666666667,10.8182,18.0303333333333,9.01516666666667,19.8333666666667,10.8182,52.2879666666667
T0197,21.0338333333333,22.946,22.946,21.0338333333333,17.2095,15.2973333333333,19.1216666666667,9.56083333333333,22.946,19.1216666666667
T0198,23.0079666666667,16.7330666666667,20.9163333333333,18.8247,25.0996,23.0079666666667,20.9163333333333,25.0996,18.8247,16.7330666666667
T0199,22.3856666666667,13.4314,20.1471,26.8628,11.1928333333333,24.6242333333333,26.8628,15.6699666666667,26.8628,35.8170666666667
T0200,11.5595,13.8714,20.8071,11.5595,16.1833,13.8714,20.8071,16.1833,25.4309,80.9165
T0201,26.1976,19.0528,14.2896,16.6712,21.4344,11.908,14.2896,26.1976,28.5792,59.54
T0202,23.621,21.2589,25.9831,25.9831,28.3452,11.8105,25.9831,23.621,14.1726,35.4315
T0203,16.8168,19.2192,16.8168,28.8288,14.4144,21.6216,19.2192,28.8288,21.6216,52.8528
T0204,11.6403333333333,20.9526,18.6245333333333,23.2806666666667,13.9684,20.9526,25.6087333333333,16.2964666666667,16.2964666666667,65.1858666666666
T0205,27.254,11.3558333333333,18.1693333333333,15.8981666666667,22.7116666666667,22.7116666666667,11.3558333333333,11.3558333333333,24.9828333333333,61.3215
T0206,15.4781666666667,24.3228333333333,11.0558333333333,17.6893333333333,13.267,17.6893333333333,24.3228333333333,13.267,24.3228333333333,59.7015
T0207,20.1105,24.5795,15.6415,22.345,20.1105,26.814,20.1105,22.345,11.1725,40.221
T0208,11.0408333333333,11.0408333333333,19.8735,17.6653333333333,17.6653333333333,17.6653333333333,19.8735,19.8735,11.0408333333333,75.0776666666667
T0209,17.9826666666667,11.2391666666667,24.7261666666667,13.487,13.487,26.974,22.4783333333333,15.7348333333333,15.7348333333333,62.9393333333333
T0210,13.347,26.694,17.796,17.796,20.0205,11.1225,11.1225,17.796,17.796,68.9595
T0211,26.214,19.6605,24.0295,10.9225,13.107,10.9225,21.845,24.0295,19.6605,48.059
