,K01,K02,K03,K04,K05,K06,K07,K08,K09,K10
T0181,40,46,46,42,40,43,42,48,44,40
T0182,45,40,43,47,42,46,47,40,44,42
T0183,42,42,48,45,44,42,46,48,43,43
T0184,40,40,44,47,48,41,40,41,48,44
T0185,43,43,45,45,45,47,44,46,42,48
T0186,45,41,42,42,40,41,45,45,40,44
T0187,45,41,45,40,47,42,48,40,44,46
T0188,46,44,41,40,42,42,46,47,40,48
T0189,45,44,46,45,48,48,43,41,46,45
T0190,46,48,44,48,42,44,48,47,47,41
T0191,41,44,47,41,46,40,47,41,46,46
T0192,47,47,44,48,40,48,44,46,47,44
T0193,46,48,48,42,43,44,43,44,48,40
T0194,44,46,42,43,48,45,44,42,47,42
T0195,43,42,46,41,42,45,43,47,44,43
T0196,46,47,45,45,42,45,43,44,48,48
T0197,47,47,40,42,47,47,44,40,41,42
T0198,47,40,47,45,48,46,42,42,41,47
T0199,47,43,44,48,45,46,40,45,41,47
T0200,40,40,43,42,43,48,44,45,45,47
T0201,47,44,44,47,46,46,42,45,45,40
T0202,45,42,41,41,40,42,43,45,46,42
T0203,40,48,47,43,46,40,42,46,48,45
T0204,48,48,48,43,41,44,47,47,40,44
T0205,42,41,42,42,42,42,43,48,47,48
T0206,41,46,46,42,42,41,40,43,41,41
T0207,43,47,42,48,48,46,40,47,48,40
T0208,41,43,45,46,43,46,41,46,45,45
T0209,46,46,46,44,48,40,42,40,44,45
T0210,46,47,43,41,43,47,45,45,40,42
T0211,47,42,46,40,41,42,45,45,44,45
T0212,44,48,46,42,42,43,43,42,45,42
T0213,44,41,42,43,41,48,45,47,40,41
T0214,40,43,48,42,44,45,41,45,42,45
T0215,43,47,44,46,42,44,44,47,48,45
T0216,43,43,45,45,44,46,41,47,42,42
T0217,47,45,45,41,40,45,47,46,40,42
T0218,40,48,43,40,41,43,40,43,45,46
T0219,42,48,47,43,47,42,47,44,41,46
T0220,40,41,42,46,47,45,46,45,46,44
T0221,43,47,40,41,44,47,43,43,40,48
T0222,40,44,48,46,45,42,45,46,42,47
T0223,48,41,45,45,48,41,41,44,48,45
T0224,45,47,42,48,45,42,45,40,42,46
T0225,48,43,47,42,42,45,42,44,48,47
T0226,48,47,48,45,42,43,44,42,48,41
T0227,47,44,48,42,43,45,44,40,43,44
T0228,48,48,40,40,42,43,48,43,46,45
T0229,43,45,43,45,48,40,43,48,42,45
T0230,41,48,41,47,40,43,47,48,46,40
T0231,44,46,44,45,43,41,44,45,46,47
T0232,40,44,41,47,47,47,40,41,46,44
T0233,41,41,45,43,46,43,42,46,47,40
T0234,41,46,42,43,45,41,44,42,47,48
T0235,45,44,42,48,47,46,46,48,43,40
T0236,40,45,47,45,46,42,40,44,43,42
T0237,45,44,42,43,41,40,41,40,42,41
T0238,47,45,46,48,44,45,46,44,42,42
T0239,45,45,48,44,48,43,40,44,40,43
T0240,44,46,44,40,46,41,45,43,48,45
T0241,40,42,48,41,41,40,48,41,45,41
T0242,40,48,46,44,46,41,40,45,46,45
T0243,47,47,48,41,44,46,41,46,41,48
T0244,46,45,40,46,48,45,44,46,46,43
T0245,45,43,43,44,45,46,44,45,46,44
T0246,46,42,47,48,48,46,42,44,47,40
T0247,48,40,45,48,45,40,42,40,43,47
T0248,43,47,45,45,42,40,42,42,43,40
T0249,46,40,48,44,46,45,42,48,47,46
T0250,40,43,41,41,40,46,43,43,45,42
T0251,48,43,41,47,44,45,41,46,40,43
T0252,44,42,45,41,44,48,41,42,40,48
T0253,42,41,48,45,40,42,48,43,47,46
T0254,42,44,43,47,48,42,40,45,44,45
T0255,44,45,47,42,40,44,42,42,46,43
T0256,40,42,48,47,42,44,47,40,48,45
T0257,44,42,48,40,48,44,44,47,40,45
T0258,43,47,45,47,42,42,44,47,47,46
T0259,45,43,48,43,43,46,41,40,44,47
T0260,48,47,47,44,45,45,46,41,41,45
T0261,48,43,46,42,43,40,40,44,40,42
T0262,44,48,47,44,45,40,43,48,45,45
T0263,47,40,42,40,42,43,48,42,46,43
T0264,46,45,44,41,43,45,48,43,40,40
T0265,48,45,46,43,45,44,46,48,41,43
T0266,47,48,40,47,40,42,45,42,48,44
T0267,45,46,40,45,48,46,44,41,43,41
T0268,41,45,41,41,45,45,43,41,45,42
T0269,43,42,44,40,42,43,46,42,42,43
T0270,45,40,45,43,43,40,46,40,48,46
T0271,41,40,43,41,46,46,48,41,43,43
T0272,42,40,46,40,40,47,41,42,41,44
T0273,42,41,42,41,44,41,44,46,43,47
T0274,41,45,44,47,41,46,41,43,43,45
T0275,47,48,45,45,40,44,41,48,46,41
T0276,44,40,46,45,44,47,47,40,48,40
T0277,40,43,48,46,43,41,42,47,40,47
T0278,48,48,47,43,42,45,41,45,46,40
T0279,42,40,42,46,47,44,46,43,48,48
T0280,40,46,43,42,42,40,42,41,44,46
T0281,48,46,43,40,40,48,42,45,44,44
T0282,45,43,44,46,44,43,42,41,48,47
T0283,47,46,47,46,43,44,47,47,48,41
T0284,41,46,44,48,47,44,46,48,43,43
T0285,48,44,46,45,45,43,47,45,45,48
T0286,45,45,43,43,40,40,43,40,48,45
T0287,42,43,48,43,43,47,48,40,48,44
T0288,45,44,46,40,43,48,43,40,45,44
T0289,48,45,46,44,47,46,48,41,45,44
T0290,41,43,44,41,47,42,42,45,46,42
T0291,47,42,42,46,43,41,41,45,43,40
T0292,44,42,48,44,40,43,45,42,42,42
T0293,43,45,41,48,42,42,43,46,43,46
T0294,43,46,44,40,43,43,44,45,47,45
T0295,45,41,42,40,47,41,40,47,44,42
T0296,46,40,46,44,48,42,46,47,40,45
T0297,42,40,42,47,48,46,42,42,43,46
T0298,41,46,43,41,44,48,41,42,43,40
T0299,41,43,46,42,48,48,40,45,40,40
T0300,46,44,42,42,45,46,40,48,45,44
T0301,48,48,46,44,42,40,48,47,44,42
T0302,47,41,43,40,45,40,47,42,42,41
T0303,40,44,45,41,45,44,45,48,46,41
T0304,46,46,40,41,46,40,47,43,44,40
T0305,48,42,44,41,42,48,47,43,44,41
T0306,45,42,43,43,47,47,48,48,44,47
T0307,44,46,47,47,40,40,40,48,45,47
T0308,43,48,46,45,42,47,42,45,40,44
T0309,42,40,47,46,46,40,40,41,48,43
T0310,40,42,40,40,41,41,45,40,45,47
T0311,45,48,42,42,46,41,48,41,42,41
T0312,43,41,45,47,40,41,44,40,43,40
T0313,40,41,46,45,42,43,46,42,46,42
T0314,47,42,40,48,48,46,48,40,48,44
T0315,47,46,40,48,41,44,46,41,44,41
T0316,47,44,43,40,42,44,48,41,44,47
T0317,44,48,40,40,45,43,48,45,45,40
T0318,45,44,46,47,44,46,40,41,41,47
T0319,45,45,40,45,47,42,48,43,47,47
T0320,41,47,41,48,46,44,41,45,46,40
T0321,47,44,46,43,48,42,45,40,47,44
T0322,46,46,43,43,48,41,47,44,43,43
T0323,44,45,42,43,48,46,43,41,43,44
T0324,43,43,43,41,40,42,43,48,46,41
T0325,42,48,42,42,42,42,46,44,41,46
T0326,47,43,47,44,48,45,47,44,42,42
T0327,44,46,41,45,44,43,41,47,41,43
T0328,46,43,44,46,44,44,46,45,43,44
T0329,42,42,46,40,48,40,46,41,40,40
T0330,41,44,41,43,46,48,45,45,41,42
T0331,43,43,46,43,41,41,47,48,47,40
T0332,44,47,47,47,44,41,45,45,41,44
T0333,43,44,46,46,41,48,43,45,45,42
T0334,46,47,45,45,45,44,44,43,46,46
T0335,40,44,48,47,47,48,41,48,40,43
T0336,44,43,45,47,46,44,45,47,42,42
T0337,45,44,47,44,44,46,46,44,45,47
T0338,47,45,43,47,48,44,45,46,45,47
T0339,46,43,48,45,41,45,47,45,48,40
T0340,40,43,46,41,45,47,44,48,42,41
T0341,44,46,47,44,44,41,43,45,41,41
T0342,44,44,46,41,48,45,45,41,47,40
T0343,48,48,46,41,44,45,45,45,40,46
T0344,48,45,42,40,46,41,45,41,47,46
T0345,45,45,46,46,48,48,40,43,40,40
T0346,47,46,48,48,42,41,40,42,43,40
T0347,42,44,43,46,47,41,47,43,43,46
T0348,43,46,43,46,46,41,43,47,48,44
T0349,40,41,41,42,47,47,45,48,44,48
T0350,42,41,43,44,43,40,47,45,40,44
T0351,43,45,47,42,47,40,48,42,45,44
T0352,40,46,48,43,45,47,45,48,41,43
T0353,40,44,47,40,42,44,46,43,46,45
T0354,47,46,43,48,47,40,46,48,44,47
T0355,47,48,42,43,41,42,45,46,45,47
T0356,44,47,46,43,48,45,47,46,44,45
T0357,41,40,48,42,43,42,42,45,45,45
T0358,46,45,46,41,45,42,40,44,44,45
T0359,45,48,43,47,40,41,48,40,44,43
T0360,46,44,40,45,47,41,45,46,43,42
T0361,42,45,43,40,48,42,41,48,45,44
T0362,42,42,43,46,44,40,42,44,41,47
T0363,44,45,44,45,43,43,45,48,40,41
T0364,48,45,41,42,42,48,48,46,45,45
T0365,48,45,47,41,47,40,40,42,45,40
T0366,43,45,45,43,45,47,47,46,42,43
T0367,45,42,46,41,41,42,46,47,47,46
T0368,43,42,48,46,45,42,42,41,43,44
T0369,42,47,41,46,42,43,41,40,48,44
T0370,45,45,47,46,47,43,42,42,47,44
T0371,44,44,47,45,41,40,47,42,45,45
T0372,41,40,45,45,41,42,46,43,47,46
T0373,42,40,44,45,40,47,47,47,42,47
T0374,40,40,43,40,47,42,42,47,45,41
T0375,46,48,42,45,42,43,44,43,48,41
T0376,48,46,47,43,48,41,45,46,44,40
T0377,48,45,45,46,45,48,45,42,46,45
T0378,44,46,48,41,47,45,42,45,44,42
T0379,44,42,47,46,47,42,45,44,48,44
T0380,47,44,46,41,40,41,42,46,45,47
T0381,48,44,47,40,47,44,45,42,47,40
T0382,41,42,47,41,46,44,46,46,45,41
T0383,40,42,42,48,40,41,41,44,40,48
T0384,41,43,43,43,42,42,47,47,42,43
T0385,48,48,47,45,43,46,42,41,47,44
T0386,43,41,41,43,48,47,45,41,42,40
T0387,48,43,46,47,45,47,46,47,44,45
T0388,43,44,47,40,41,48,41,46,48,40
T0389,41,40,48,48,43,43,45,47,43,42
T0390,48,41,48,48,46,40,41,43,48,45
T0391,47,41,44,40,44,47,40,48,45,40
T0392,47,46,45,43,42,46,43,44,40,48
T0393,43,43,41,46,42,40,48,44,45,43
T0394,44,43,48,43,42,44,47,43,44,47
T0395,48,45,45,48,46,47,43,47,42,48
T0396,44,41,47,43,47,41,45,43,44,47
T0397,44,46,42,41,46,46,43,41,46,44
T0398,40,42,42,44,45,46,42,42,46,42
T0399,41,40,42,44,45,41,46,41,48,40
T0400,43,47,41,48,44,41,41,42,41,42
T0401,46,44,48,42,44,42,46,41,41,43
T0402,44,40,42,42,42,42,42,46,44,44
T0403,47,41,41,47,46,42,40,46,41,40
T0404,41,42,48,41,46,46,46,40,45,43
T0405,40,44,43,40,48,48,40,43,47,46
T0406,40,44,45,47,44,40,47,40,47,43
T0407,42,45,40,41,41,44,44,47,44,41
T0408,40,48,47,40,44,44,40,46,40,40
T0409,48,44,44,47,43,43,40,42,40,41
T0410,42,47,45,45,44,44,40,45,48,43
T0411,42,45,40,44,40,45,43,40,44,48
T0412,48,42,40,43,43,41,40,47,45,42
T0413,40,43,42,45,47,47,48,42,42,45
T0414,40,41,42,43,47,42,42,44,46,45
T0415,45,41,41,43,43,42,42,46,46,47
T0416,47,46,40,41,44,40,44,48,48,40
T0417,46,45,43,43,44,44,41,40,43,45
T0418,41,41,47,46,45,45,40,47,47,40
T0419,46,44,47,41,48,46,43,45,46,41
T0420,46,43,43,42,46,40,46,41,41,43
T0421,41,47,46,46,42,43,40,47,46,46
T0422,47,43,41,47,45,46,46,40,47,48
T0423,42,41,42,43,46,43,41,43,48,43
T0424,40,45,46,45,48,47,42,46,46,44
T0425,45,47,44,44,45,47,43,42,46,42
T0426,40,47,45,44,43,47,45,41,46,44
T0427,46,47,43,45,40,47,45,42,45,40
T0428,44,43,47,44,48,43,42,46,44,42
T0429,46,47,40,47,41,43,42,41,45,40
T0430,43,42,47,41,46,47,48,44,41,46
T0431,41,44,41,44,44,46,46,46,41,43
T0432,41,47,48,46,41,47,44,48,40,42
T0433,46,41,45,41,46,43,43,46,44,40
T0434,42,47,40,41,48,47,43,42,42,46
T0435,42,47,45,48,44,44,43,45,42,47
T0436,42,46,48,45,46,40,45,44,45,41
T0437,45,43,40,41,44,42,44,40,40,42
T0438,45,48,44,40,48,44,44,40,42,48
T0439,44,42,40,40,46,41,46,42,46,43
T0440,48,42,41,46,42,45,43,46,47,47
T0441,42,48,44,46,43,44,48,40,44,45
T0442,41,47,47,41,48,47,46,47,48,43
T0443,40,42,44,47,48,45,48,43,43,40
T0444,44,40,46,44,46,41,43,46,45,41
T0445,45,48,48,48,44,42,45,47,48,45
T0446,47,41,41,41,40,44,44,41,43,40
T0447,40,45,42,47,40,41,48,46,43,41
T0448,41,47,43,48,47,45,43,40,40,47
T0449,45,41,43,44,43,42,43,44,40,42
T0450,44,40,45,45,43,44,46,44,41,43
T0451,48,48,40,48,48,47,42,41,47,40
T0452,45,40,44,46,43,43,44,40,47,43
T0453,46,48,47,47,46,46,45,48,41,40
T0454,40,46,48,43,44,41,42,42,40,47
T0455,45,43,45,48,44,41,40,41,47,46
T0456,44,40,46,46,46,48,44,46,41,47
T0457,45,43,40,41,47,44,48,44,48,48
T0458,41,41,44,45,41,40,40,43,46,47
T0459,43,40,42,47,46,44,44,42,48,43
T0460,42,42,48,44,45,47,43,40,42,48
T0461,40,41,40,43,45,46,44,47,46,45
T0462,44,43,47,45,42,40,40,42,44,41
T0463,44,41,43,46,45,43,44,40,48,46
T0464,46,40,42,42,40,48,40,44,47,41
T0465,44,44,44,44,43,48,42,46,40,46
T0466,40,46,44,43,45,47,47,46,44,43
T0467,44,48,44,42,41,40,43,40,45,46
T0468,40,47,48,40,47,46,43,47,42,47
T0469,45,41,42,42,48,42,40,41,42,43
T0470,46,48,44,47,41,47,41,42,41,45
T0471,47,45,43,41,46,44,47,47,47,47
T0472,40,45,41,46,43,47,43,40,43,48
T0473,47,41,43,44,41,46,45,41,46,46
T0474,41,42,41,45,45,40,43,41,48,43
T0475,45,40,42,46,41,43,46,47,47,43
T0476,42,47,44,48,47,44,40,45,47,45
T0477,40,43,41,42,40,41,40,43,44,41
T0478,47,48,42,42,47,46,42,40,40,42
T0479,47,47,42,45,42,42,43,41,46,42
T0480,41,41,45,42,41,46,45,46,48,46
T0481,41,46,48,40,48,48,48,48,40,43
T0482,43,42,41,46,45,43,43,46,42,48
T0483,41,48,46,40,44,40,48,43,40,43
T0484,46,48,41,48,41,45,44,45,41,44
T0485,45,46,48,40,44,41,45,43,48,41
T0486,45,41,47,46,43,48,46,42,42,47
T0487,42,43,43,47,41,41,46,48,45,46
T0488,40,43,44,47,45,42,45,44,43,46
T0489,42,42,46,42,44,42,40,43,43,47
T0490,42,40,41,48,40,40,43,44,40,41
T0491,41,44,41,46,45,43,40,41,43,40
T0492,43,48,45,40,44,46,48,46,47,42
T0493,44,45,45,42,40,44,42,47,40,45
T0494,44,45,42,41,42,47,43,42,48,42
T0495,40,46,41,41,47,47,44,45,43,47
T0496,44,46,45,42,40,40,43,41,43,46
T0497,43,45,47,46,46,46,41,44,40,43
T0498,40,43,48,46,43,47,43,40,41,48
T0499,44,47,47,45,46,45,41,44,41,47
T0500,44,41,43,45,46,48,47,45,47,47
T0501,44,42,43,42,44,44,48,46,47,44
T0502,45,40,43,46,43,41,47,40,45,43
T0503,45,43,45,44,46,43,44,46,45,48
T0504,44,44,45,42,43,40,42,47,43,47
T0505,45,48,46,47,45,40,44,48,48,41
T0506,48,41,45,44,42,48,41,42,47,42
T0507,48,48,41,47,42,42,45,41,48,46
T0508,48,48,44,46,43,42,43,44,48,44
T0509,45,45,48,41,47,46,40,45,43,45
T0510,41,44,43,45,43,48,47,46,45,41
T0511,43,44,42,40,46,46,41,43,47,40
T0512,46,42,44,43,41,44,47,44,45,42
T0513,42,46,46,48,46,40,48,42,43,45
T0514,45,47,44,47,46,48,40,47,48,46
T0515,42,40,47,43,42,45,42,47,45,42
T0516,41,42,41,44,43,45,45,45,42,41
T0517,40,48,40,43,41,45,48,47,44,47
T0518,47,45,42,41,46,46,41,43,43,40
T0519,47,41,48,48,43,41,44,40,40,46
T0520,47,46,44,41,45,40,40,46,44,44
T0521,44,45,43,44,45,47,41,42,47,41
T0522,47,43,43,43,46,42,47,41,41,42
T0523,42,46,46,46,47,48,48,45,43,41
T0524,47,42,44,47,48,47,47,40,47,45
T0525,43,45,47,41,42,48,45,44,41,47
T0526,44,40,44,47,48,46,43,48,48,48
T0527,46,44,42,45,45,46,47,46,45,43
T0528,41,40,45,41,43,48,41,44,43,40
T0529,47,46,40,48,48,42,40,44,48,42
T0530,44,42,44,41,41,41,41,44,41,40
T0531,45,41,48,42,46,40,48,41,46,45
T0532,46,45,41,45,48,41,42,46,46,45
T0533,48,42,41,47,44,46,41,46,48,46
T0534,40,44,48,40,46,44,48,44,46,44
T0535,45,44,43,44,41,45,47,45,46,43
T0536,42,48,45,46,46,40,40,42,44,48
T0537,44,48,40,44,44,42,41,43,44,42
T0538,45,40,43,47,45,41,41,46,43,42
T0539,40,48,44,42,47,42,42,42,45,45
T0540,42,47,41,43,47,45,47,44,40,48
T0541,46,42,45,40,45,46,48,48,47,48
T0542,48,42,45,45,46,46,47,41,48,44
T0543,41,45,41,43,46,46,41,47,45,40
T0544,40,41,43,42,45,45,47,42,45,44
T0545,48,42,47,45,40,43,45,48,42,46
T0546,46,45,42,45,45,46,40,43,46,43
T0547,40,43,47,48,46,41,42,44,41,41
T0548,47,41,47,45,41,41,46,41,43,41
T0549,40,41,46,44,44,42,40,45,44,43
T0550,40,42,47,42,42,47,41,47,41,48
T0551,48,43,41,46,40,48,47,40,45,47
T0552,44,45,48,47,42,47,42,48,44,46
T0553,46,48,48,44,42,40,44,43,45,44
T0554,46,42,41,46,42,41,46,48,41,44
T0555,47,47,46,41,40,46,48,40,48,41
T0556,47,48,41,45,41,48,45,42,43,40
T0557,41,44,45,48,46,45,48,43,46,44
T0558,46,42,47,46,43,40,47,40,45,43
T0559,47,45,48,46,45,41,42,43,42,40
T0560,42,42,42,43,42,46,41,40,47,48
T0561,42,46,42,41,41,46,41,47,46,40
T0562,42,47,41,43,40,45,45,47,46,48
T0563,45,40,44,44,45,47,44,43,44,44
T0564,47,43,47,40,48,42,48,45,42,41
T0565,40,45,44,47,44,43,47,44,40,42
T0566,46,48,48,42,48,44,45,43,43,44
T0567,47,46,46,43,47,47,48,43,46,43
T0568,45,42,42,48,48,44,46,42,44,42
T0569,44,46,45,46,43,44,44,41,48,43
T0570,43,40,45,40,46,43,44,46,48,45
T0571,46,44,47,47,45,44,40,42,46,45
T0572,43,48,46,44,46,44,42,40,45,43
T0573,43,40,43,44,43,43,45,48,46,47
T0574,45,42,45,40,42,42,42,42,46,41
T0575,48,43,46,41,41,43,40,43,42,45
T0576,43,42,46,47,46,48,41,43,40,44
T0577,40,43,46,43,44,48,41,43,46,42
T0578,46,45,40,42,40,43,44,43,40,45
T0579,44,41,43,42,41,44,44,42,42,41
T0580,48,48,44,42,45,40,43,44,44,42
