;K01;K02;K03;K04;K05;K06;K07;K08;K09;K10;;;;
T0058;55;23;29;47;90;72;11;65;23;78;T0058;493;;
T0059;54;64;30;60;86;10;82;94;80;77;T0059;637;;
T0060;73;85;55;21;69;19;79;21;94;21;T0060;537;;
T0061;58;44;44;24;61;15;92;95;73;85;T0061;591;;
T0062;63;26;68;18;38;91;95;64;37;13;T0062;513;;
T0063;42;32;33;77;25;23;34;70;37;39;T0063;412;;
T0064;77;31;53;19;22;19;50;93;100;43;T0064;507;;
T0065;50;32;86;16;25;61;72;36;60;44;T0065;482;;
T0066;63;54;49;75;31;98;89;76;12;90;T0066;637;;
T0067;46;69;66;56;92;54;85;74;11;93;T0067;646;;
T0068;17;41;55;52;64;97;22;74;21;86;T0068;529;;
T0069;45;78;62;40;37;18;88;89;96;51;T0069;604;;
T0070;27;37;93;15;43;66;87;10;47;36;T0070;461;;
T0071;89;34;25;84;35;41;55;88;81;13;T0071;545;;
T0072;63;99;78;31;71;12;45;97;31;52;T0072;579;;
T0073;95;63;86;20;24;91;32;94;74;44;T0073;623;;
T0074;25;64;85;98;81;42;15;84;46;13;T0074;553;;
T0075;53;61;72;28;75;99;80;87;25;53;T0075;633;;
T0076;49;77;38;53;64;39;58;79;68;67;T0076;592;;
T0077;70;24;81;31;77;30;32;99;36;32;T0077;512;;
T0078;94;25;15;34;61;100;10;32;15;90;T0078;476;;
T0079;58;12;87;47;63;67;66;37;11;56;T0079;504;;
T0080;36;50;23;18;54;41;76;80;20;44;T0080;442;;
T0081;73;33;46;45;47;55;45;17;68;29;T0081;458;;
T0082;87;38;83;62;88;49;76;93;41;82;T0082;699;;
T0083;38;79;27;42;74;94;37;37;65;41;T0083;534;;
T0084;21;25;25;54;73;22;79;68;36;42;T0084;445;;
T0085;88;22;33;41;75;23;38;96;81;47;T0085;544;;
T0086;74;74;48;40;77;66;81;10;46;43;T0086;559;;
T0087;34;51;78;59;87;23;60;11;30;34;T0087;467;;
T0088;26;63;92;23;73;95;72;63;54;62;T0088;623;;
T0089;70;66;97;82;96;45;61;44;35;62;T0089;658;;
T0090;54;40;28;15;61;26;48;66;43;52;T0090;433;;
T0091;53;55;96;48;84;76;16;52;98;74;T0091;652;;
T0092;22;64;28;22;58;34;21;52;49;90;T0092;440;;
T0093;15;46;69;12;94;56;80;26;96;38;T0093;532;;
T0094;47;78;81;36;52;11;90;42;53;86;T0094;576;;
T0095;14;87;51;72;85;63;19;47;62;80;T0095;580;;
T0096;68;50;30;99;18;55;93;85;36;80;T0096;614;;
T0097;22;59;24;59;59;65;28;43;94;67;T0097;520;;
T0098;73;82;66;35;63;41;61;62;59;35;T0098;577;;
T0099;98;29;16;43;66;68;93;26;34;38;T0099;511;;
T0100;45;40;97;45;96;81;33;20;56;11;T0100;524;;
T0101;61;14;94;11;90;42;19;58;86;40;T0101;515;;
T0102;81;10;46;92;97;79;22;24;93;55;T0102;599;;
T0103;28;21;96;78;62;79;25;68;39;59;T0103;555;;
T0104;15;37;46;65;12;51;60;77;61;17;T0104;441;;
T0105;70;64;25;89;56;28;16;43;32;84;T0105;507;;
T0106;82;61;54;22;28;70;73;23;41;46;T0106;500;;
T0107;97;54;56;78;34;47;81;95;41;34;T0107;617;;
T0108;90;20;22;34;83;94;16;18;53;60;T0108;490;;
T0109;75;12;66;91;73;53;100;37;81;26;T0109;614;;
T0110;18;28;85;98;12;58;39;33;21;78;T0110;470;;
T0111;15;33;33;49;70;96;94;61;52;44;T0111;547;;
T0112;37;93;88;39;95;22;67;35;61;89;T0112;626;;
T0113;60;42;44;100;52;45;73;14;97;45;T0113;572;;
T0114;72;72;86;57;24;98;18;54;51;96;T0114;628;;
T0115;36;36;93;68;91;100;46;60;74;27;T0115;631;;
T0116;18;54;28;68;11;36;56;18;40;31;T0116;360;;
T0117;46;22;76;47;75;56;34;65;84;44;T0117;549;;
T0118;40;83;97;10;59;55;32;60;84;98;T0118;618;;
T0119;53;90;66;13;31;35;20;77;40;19;T0119;444;;
T0120;73;54;77;74;12;15;84;67;11;80;T0120;547;;
T0121;11;44;13;42;49;51;85;48;89;61;T0121;493;;
T0122;45;58;42;94;84;29;34;21;81;33;T0122;521;;
T0123;54;12;12;71;85;47;82;36;63;88;T0123;550;;
T0124;16;17;99;20;50;31;71;92;84;37;T0124;517;;
T0125;43;82;78;71;55;20;94;25;20;67;T0125;555;;
T0126;88;95;17;34;31;80;98;18;70;32;T0126;563;;
T0127;47;79;84;86;95;100;11;88;39;37;T0127;666;;
T0128;31;68;41;15;50;67;41;89;78;27;T0128;507;;
T0129;81;96;30;88;48;74;73;93;92;33;T0129;708;;
T0130;22;41;100;39;75;16;87;48;87;87;T0130;602;;
T0131;10;41;48;97;82;78;10;42;54;80;T0131;542;;
T0132;55;26;37;42;30;35;11;77;10;46;T0132;369;;
T0133;27;17;100;18;88;74;99;63;77;50;T0133;613;;
T0134;94;51;42;55;70;51;85;29;20;24;T0134;521;;
T0135;50;96;52;34;73;93;37;43;38;19;T0135;535;;
T0136;15;61;17;47;18;86;20;76;16;83;T0136;439;;
T0137;12;23;52;56;54;92;100;41;54;34;T0137;518;;
T0138;29;29;54;10;28;61;27;40;20;33;T0138;331;;
T0139;43;17;86;78;91;27;44;61;67;23;T0139;537;;
T0140;74;25;60;75;84;92;88;60;47;81;T0140;686;;
T0141;35;61;83;37;97;23;21;39;10;68;T0141;474;;
T0142;70;70;87;33;83;86;21;62;54;74;T0142;640;;
T0143;79;33;55;96;93;98;83;64;49;46;T0143;696;;
T0144;90;42;80;97;95;54;16;91;42;52;T0144;659;;
T0145;14;54;33;70;48;98;59;69;55;45;T0145;545;;
T0146;99;27;31;68;91;100;43;29;28;69;T0146;585;;
T0147;27;64;29;87;19;81;19;77;88;53;T0147;544;;
T0148;59;65;48;74;14;90;88;50;38;99;T0148;625;;
T0149;45;15;66;73;98;97;86;38;75;71;T0149;664;;
T0150;72;68;98;43;56;57;41;35;94;20;T0150;584;;
T0151;33;98;56;41;18;53;27;41;17;37;T0151;421;;
T0152;36;59;36;90;24;92;22;69;20;27;T0152;475;;
T0153;43;74;31;10;92;35;79;46;36;59;T0153;505;;
T0154;85;51;22;75;85;87;64;74;51;67;T0154;661;;
T0155;79;86;40;79;20;47;32;60;92;80;T0155;615;;
T0156;30;22;49;50;76;26;75;41;52;33;T0156;454;;
T0157;96;64;36;48;97;22;97;50;12;69;T0157;591;;
T0158;95;47;32;85;13;23;39;19;17;42;T0158;412;;
T0159;49;17;68;23;72;38;30;24;24;12;T0159;357;;
T0160;61;92;60;39;63;17;99;59;85;28;T0160;603;;
T0161;36;79;50;29;15;36;46;27;100;70;T0161;488;;
T0162;90;28;57;34;99;61;75;84;83;35;T0162;646;;
T0163;70;51;54;68;47;86;96;44;25;22;T0163;563;;
T0164;38;18;87;85;96;74;50;82;41;72;T0164;643;;
T0165;17;55;65;60;79;62;66;47;91;38;T0165;580;;
T0166;53;34;62;33;74;23;22;45;13;16;T0166;375;;
T0167;77;81;84;22;23;91;30;34;26;58;T0167;526;;
T0168;58;63;32;38;11;73;45;45;45;33;T0168;443;;
T0169;16;35;32;59;60;20;24;21;94;10;T0169;371;;
T0170;77;25;100;79;40;56;62;26;71;46;T0170;582;;
T0171;29;36;42;53;97;17;100;77;95;40;T0171;586;;
T0172;100;89;71;57;28;76;59;32;13;94;T0172;619;;
T0173;69;43;100;48;84;58;30;28;77;59;T0173;596;;
T0174;78;24;90;71;85;61;45;70;88;61;T0174;673;;
T0175;22;98;87;100;97;71;71;30;56;87;T0175;719;;
T0176;83;62;19;25;46;40;39;33;21;99;T0176;467;;
T0177;77;53;47;54;88;70;35;80;36;19;T0177;559;;
T0178;35;18;50;44;31;63;31;24;52;62;T0178;410;;
T0179;75;100;70;64;51;86;72;73;94;31;T0179;716;;
T0180;22;53;76;21;44;12;53;39;45;74;T0180;439;;
T0181;39;22;11;29;94;96;83;54;99;46;T0181;573;;
T0182;89;90;51;86;79;13;89;54;71;72;T0182;694;;
T0183;21;92;76;72;89;14;43;25;57;72;T0183;561;;
T0184;68;34;49;48;97;14;10;57;48;62;T0184;487;;
T0185;99;21;34;71;26;39;78;30;77;31;T0185;506;;
T0186;91;22;87;30;55;78;49;33;92;61;T0186;598;;
T0187;32;65;84;87;18;46;90;40;65;36;T0187;563;;
T0188;88;49;31;54;70;46;24;86;49;75;T0188;572;;
T0189;42;84;29;72;77;87;66;12;29;14;T0189;512;;
T0190;36;14;33;41;84;99;38;87;84;14;T0190;530;;
T0191;54;53;91;72;73;58;73;88;60;60;T0191;682;;
T0192;23;96;39;51;34;56;14;75;73;13;T0192;474;;
T0193;54;84;31;65;29;73;85;37;15;94;T0193;567;;
T0194;35;53;14;84;25;41;38;81;95;100;T0194;566;;
T0195;68;62;11;17;27;36;44;67;17;14;T0195;363;;
T0196;93;12;88;84;63;24;44;86;44;59;T0196;597;;
T0197;59;80;53;15;38;82;61;53;16;81;T0197;538;;
T0198;16;47;31;21;57;73;55;72;60;85;T0198;517;;
T0199;87;38;34;25;45;71;20;36;39;87;T0199;482;;
T0200;17;14;80;16;40;63;14;68;52;95;T0200;459;;
T0201;36;71;63;63;41;40;29;74;47;20;T0201;484;;
T0202;87;31;80;21;23;91;68;95;11;48;T0202;555;;
T0203;11;34;42;81;76;67;12;20;74;21;T0203;438;;
T0204;83;57;80;43;95;97;29;68;63;67;T0204;682;;
T0205;64;19;89;94;21;26;52;37;16;15;T0205;433;;
T0206;92;61;96;33;99;16;100;71;60;15;T0206;643;;
T0207;27;24;49;44;88;91;39;80;42;28;T0207;512;;
T0208;74;96;32;73;15;93;16;88;86;66;T0208;639;;
T0209;80;31;16;68;97;29;81;93;78;32;T0209;605;;
T0210;99;17;20;83;74;20;93;94;93;87;T0210;680;;
T0211;34;70;21;95;53;39;100;28;56;47;T0211;543;;
T0212;54;49;95;12;18;58;43;67;90;26;T0212;512;;
T0213;40;70;96;12;62;74;32;92;51;55;T0213;584;;
T0214;60;15;15;77;21;91;13;62;66;23;T0214;443;;
T0215;53;57;41;70;75;52;10;15;39;31;T0215;443;;
T0216;67;14;60;95;35;41;26;63;84;67;T0216;552;;
T0217;28;96;61;33;34;84;89;57;21;32;T0217;535;;
T0218;64;49;37;14;20;61;53;67;86;92;T0218;543;;
T0219;24;27;29;83;48;19;68;40;65;78;T0219;481;;
T0220;35;25;68;56;49;62;41;38;99;14;T0220;487;;
T0221;44;15;47;88;91;85;73;90;17;48;T0221;598;;
T0222;57;20;86;19;17;79;43;81;26;88;T0222;516;;
T0223;81;100;91;97;99;23;96;37;40;51;T0223;715;;
T0224;84;70;38;26;61;64;84;86;46;97;T0224;656;;
T0225;44;16;44;60;33;17;17;92;61;28;T0225;412;;
T0226;46;67;75;24;12;21;40;28;22;94;T0226;429;;
T0227;100;46;30;33;52;24;92;65;86;77;T0227;605;;
T0228;75;20;95;15;10;52;19;45;92;58;T0228;481;;
T0229;13;26;45;62;73;14;23;92;15;42;T0229;405;;
T0230;86;89;60;26;30;95;21;57;69;41;T0230;574;;
T0231;39;76;14;70;39;16;100;93;49;59;T0231;555;;
T0232;28;60;23;22;33;93;40;97;77;52;T0232;525;;
T0233;91;49;39;22;52;75;11;91;45;78;T0233;553;;
T0234;95;30;29;58;82;68;45;27;90;67;T0234;591;;
T0235;25;86;47;84;37;51;53;76;24;70;T0235;553;;
T0236;35;61;55;32;37;43;36;50;41;17;T0236;407;;
T0237;79;28;43;39;68;75;24;41;32;46;T0237;475;;
T0238;67;62;52;46;86;99;96;46;64;71;T0238;689;;
T0239;44;10;16;50;85;29;70;81;37;77;T0239;499;;
T0240;94;23;78;80;81;81;99;89;36;91;T0240;752;;
T0241;34;33;43;39;35;60;61;12;19;36;T0241;372;;
T0242;90;41;27;91;72;89;74;78;55;16;T0242;633;;
T0243;80;87;74;10;88;14;28;50;72;39;T0243;542;;
T0244;99;90;96;86;92;40;37;78;72;20;T0244;710;;
T0245;64;63;20;95;16;60;93;27;24;38;T0245;500;;
T0246;20;61;99;38;87;12;89;34;99;76;T0246;615;;
T0247;88;22;26;40;14;80;10;69;55;72;T0247;476;;
T0248;42;78;72;24;92;63;60;96;90;82;T0248;699;;
T0249;92;36;39;42;38;72;92;68;20;85;T0249;584;;
T0250;80;50;37;49;37;64;66;58;34;75;T0250;550;;
T0251;16;56;52;35;39;18;51;36;75;32;T0251;410;;
T0252;46;47;58;41;42;15;87;57;42;21;T0252;456;;
T0253;86;51;39;41;65;80;29;60;26;55;T0253;532;;
T0254;34;74;99;94;21;83;23;76;53;56;T0254;613;;
T0255;89;70;99;57;27;59;47;21;35;32;T0255;536;;
T0256;72;83;10;60;61;22;12;16;60;25;T0256;421;;
T0257;57;45;46;91;68;47;47;20;71;65;T0257;557;;
T0258;45;85;97;73;34;100;32;92;39;67;T0258;664;;
T0259;90;53;87;10;79;57;46;90;67;26;T0259;605;;
T0260;64;25;42;57;74;65;58;15;41;11;T0260;452;;
T0261;26;45;39;98;99;83;40;17;26;30;T0261;503;;
T0262;100;29;17;55;97;60;77;70;46;99;T0262;650;;
T0263;86;78;43;73;89;99;59;51;30;30;T0263;638;;
T0264;53;36;60;81;79;78;47;29;62;29;T0264;554;;
T0265;49;20;69;64;98;52;17;40;59;81;T0265;549;;
T0266;82;92;59;98;58;70;86;38;68;19;T0266;670;;
T0267;13;28;50;95;83;54;93;96;57;71;T0267;640;;
T0268;38;100;89;96;18;47;82;95;29;34;T0268;628;;
T0269;60;20;100;70;57;16;75;31;72;22;T0269;523;;
T0270;13;26;91;43;16;56;79;67;43;33;T0270;467;;
T0271;36;83;42;59;39;25;74;74;61;25;T0271;518;;
T0272;84;96;69;72;89;34;53;67;91;29;T0272;684;;
T0273;88;43;85;98;88;76;31;80;73;68;T0273;730;;
T0274;42;43;51;89;74;97;58;17;30;81;T0274;582;;
T0275;68;76;62;97;62;94;17;57;25;94;T0275;652;;
T0276;70;51;83;56;64;75;46;74;33;69;T0276;621;;
T0277;34;98;45;65;11;87;31;27;86;48;T0277;532;;
T0278;47;35;76;44;37;85;68;42;63;82;T0278;579;;
T0279;31;84;28;91;58;40;32;59;30;46;T0279;499;;
T0280;34;26;38;57;59;53;42;10;19;29;T0280;367;;
T0281;79;34;72;83;65;93;31;50;100;78;T0281;685;;
T0282;54;33;95;85;80;11;18;97;35;16;T0282;524;;
T0283;38;63;47;93;88;66;13;58;92;15;T0283;573;;
T0284;97;39;82;81;68;90;41;48;59;54;T0284;659;;
T0285;49;63;100;71;11;96;54;82;76;25;T0285;627;;
T0286;47;80;29;18;58;87;89;94;28;90;T0286;620;;
T0287;92;45;10;11;15;65;22;21;15;78;T0287;374;;
T0288;54;98;52;74;26;74;17;86;43;63;T0288;587;;
T0289;69;36;73;65;55;74;50;53;77;95;T0289;647;;
T0290;99;57;98;45;85;82;44;77;79;25;T0290;691;;
T0291;85;12;49;39;87;11;71;31;63;83;T0291;531;;
T0292;98;97;63;12;24;42;85;62;78;98;T0292;659;;
T0293;29;81;10;86;80;80;15;56;80;21;T0293;538;;
T0294;37;58;83;42;42;34;78;91;99;35;T0294;599;;
T0295;34;11;64;26;16;68;23;49;52;62;T0295;405;;
T0296;70;44;82;76;100;31;52;50;45;10;T0296;560;;
T0297;98;45;34;76;44;10;69;29;82;47;T0297;534;;
T0298;64;16;14;63;11;52;29;29;59;75;T0298;412;;
T0299;65;61;77;83;81;76;63;46;32;15;T0299;599;;
T0300;48;50;88;24;68;100;31;37;73;11;T0300;530;;
T0301;16;59;71;68;47;14;90;49;96;72;T0301;582;;
T0302;70;64;12;74;84;81;95;99;92;83;T0302;754;;
T0303;71;83;65;100;24;97;79;81;83;13;T0303;696;;
T0304;85;72;29;35;63;74;92;15;13;45;T0304;523;;
T0305;12;84;46;49;36;40;18;81;51;13;T0305;430;;
T0306;75;75;99;27;96;24;61;53;22;23;T0306;555;;
T0307;50;29;81;43;74;99;64;19;43;38;T0307;540;;
T0308;36;84;69;11;54;78;42;94;78;37;T0308;583;;
T0309;58;16;46;93;60;61;41;12;63;49;T0309;499;;
T0310;17;66;77;43;37;62;80;52;59;45;T0310;538;;
T0311;94;77;95;64;65;44;72;66;89;65;T0311;731;;
T0312;60;93;14;55;66;50;17;85;27;84;T0312;551;;
T0313;94;76;22;57;77;33;15;69;53;47;T0313;543;;
T0314;45;32;79;24;99;85;61;77;56;49;T0314;607;;
T0315;47;50;95;67;64;23;22;92;69;56;T0315;585;;
T0316;28;72;93;96;70;28;46;50;42;54;T0316;579;;
T0317;64;16;95;60;72;70;20;14;28;83;T0317;522;;
T0318;28;74;29;99;19;22;39;88;88;43;T0318;529;;
T0319;68;58;73;55;83;72;90;47;62;17;T0319;625;;
T0320;70;68;25;91;20;66;60;32;94;80;T0320;606;;
T0321;21;30;78;77;96;82;87;52;39;56;T0321;618;;
T0322;64;24;59;12;67;30;38;89;47;60;T0322;490;;
T0323;20;95;42;100;46;70;18;16;70;79;T0323;556;;
T0324;21;52;16;59;45;85;28;32;53;82;T0324;473;;
T0325;45;48;68;22;33;18;81;89;32;73;T0325;509;;
T0326;17;81;38;31;42;93;46;49;99;76;T0326;572;;
T0327;77;15;38;77;22;38;22;17;34;47;T0327;387;;
T0328;51;87;95;15;29;14;91;45;20;88;T0328;535;;
T0329;73;52;57;74;18;98;58;60;76;89;T0329;655;;
T0330;20;48;24;94;87;72;56;43;65;22;T0330;531;;
T0331;93;62;92;45;11;20;24;24;10;89;T0331;470;;
T0332;100;85;25;63;39;87;11;48;14;53;T0332;525;;
T0333;35;42;86;55;67;72;47;68;36;80;T0333;588;;
T0334;84;67;92;17;10;37;38;55;56;47;T0334;503;;
T0335;75;52;21;13;66;13;91;12;28;91;T0335;462;;
T0336;34;19;66;24;40;75;70;64;75;39;T0336;506;;
T0337;61;66;73;56;18;15;76;79;21;53;T0337;518;;
T0338;22;31;76;37;69;90;79;53;26;24;T0338;507;;
T0339;91;61;16;33;73;88;24;59;68;56;T0339;569;;
T0340;60;69;50;67;92;55;12;26;32;89;T0340;552;;
T0341;70;87;21;52;30;72;76;97;34;31;T0341;570;;
T0342;23;59;70;57;45;39;27;92;38;10;T0342;460;;
T0343;52;66;47;47;31;54;38;69;68;16;T0343;488;;
T0344;30;37;81;27;99;93;73;66;69;75;T0344;650;;
T0345;64;27;77;84;36;13;60;22;62;80;T0345;525;;
T0346;60;91;69;70;69;68;45;60;21;61;T0346;614;;
T0347;74;11;22;28;81;14;97;26;90;13;T0347;456;;
T0348;87;85;15;95;67;74;30;15;59;58;T0348;585;;
T0349;23;80;19;60;30;21;51;18;69;14;T0349;385;;
T0350;63;55;54;89;63;27;35;54;93;24;T0350;557;;
T0351;44;81;47;42;53;48;36;29;21;50;T0351;451;;
T0352;99;10;60;42;41;33;74;20;63;85;T0352;527;;
T0353;34;69;38;98;25;31;17;12;36;47;T0353;407;;
T0354;71;83;61;97;62;79;11;99;16;60;T0354;639;;
T0355;97;32;40;43;25;90;59;61;95;40;T0355;582;;
T0356;95;38;35;58;68;55;35;60;57;42;T0356;543;;
T0357;82;41;39;57;98;24;67;50;82;95;T0357;635;;
T0358;18;24;85;57;89;98;94;20;33;60;T0358;578;;
T0359;74;60;14;65;85;14;26;77;18;99;T0359;532;;
T0360;15;100;15;36;43;92;30;41;50;100;T0360;522;;
T0361;37;76;67;66;46;10;62;97;96;65;T0361;622;;
T0362;21;54;91;58;47;51;31;69;55;88;T0362;565;;
T0363;31;73;61;77;56;16;96;49;71;53;T0363;583;;
T0364;58;91;65;48;85;100;59;21;64;15;T0364;606;;
T0365;36;79;10;25;41;49;19;48;79;19;T0365;405;;
T0366;24;36;92;70;12;44;11;60;60;70;T0366;479;;
T0367;80;100;74;23;20;70;80;99;20;29;T0367;595;;
T0368;53;78;53;58;31;23;11;63;80;26;T0368;476;;
T0369;31;36;28;18;94;89;80;74;85;100;T0369;635;;
T0370;20;82;54;42;84;67;22;74;60;38;T0370;543;;
T0371;71;64;68;68;79;43;16;90;50;68;T0371;617;;
T0372;46;46;48;39;86;87;53;67;85;72;T0372;629;;
T0373;77;81;53;66;70;29;64;36;81;78;T0373;635;;
T0374;86;94;88;47;63;45;77;78;30;16;T0374;624;;
T0375;99;68;77;45;93;89;87;26;56;30;T0375;670;;
T0376;28;91;77;16;14;55;74;94;24;73;T0376;546;;
T0377;50;57;29;28;30;33;45;57;71;60;T0377;460;;
T0378;62;86;19;89;22;48;39;76;58;13;T0378;512;;
T0379;96;14;19;77;33;10;29;67;72;21;T0379;438;;
T0380;12;19;88;91;99;82;96;60;18;62;T0380;627;;
T0381;71;40;47;34;86;88;79;21;70;41;T0381;577;;
T0382;68;84;27;27;36;33;89;16;27;88;T0382;495;;
T0383;28;18;54;19;32;67;70;38;34;22;T0383;382;;
T0384;44;12;26;22;68;99;22;73;99;30;T0384;495;;
T0385;28;72;17;44;23;73;77;81;19;48;T0385;482;;
T0386;27;67;37;68;64;60;98;95;57;56;T0386;629;;
T0387;24;36;24;17;81;13;88;78;69;23;T0387;453;;
T0388;68;23;72;32;80;79;97;63;40;66;T0388;620;;
T0389;25;85;64;33;46;30;100;43;70;57;T0389;553;;
T0390;23;48;80;94;61;74;36;15;79;32;T0390;542;;
T0391;50;11;96;32;50;39;94;98;28;58;T0391;556;;
T0392;15;47;27;22;32;90;88;30;99;34;T0392;484;;
T0393;14;86;50;21;58;78;36;92;80;17;T0393;532;;
T0394;11;87;16;86;89;70;33;24;26;52;T0394;494;;
T0395;62;49;78;80;79;20;61;92;13;22;T0395;556;;
T0396;86;46;39;87;69;54;99;91;21;92;T0396;684;;
T0397;40;68;50;61;81;61;94;43;73;29;T0397;600;;
T0398;33;32;43;29;35;33;89;75;12;17;T0398;398;;
T0399;34;50;64;76;87;44;47;94;59;23;T0399;578;;
T0400;66;11;83;37;68;64;42;36;40;90;T0400;537;;
T0401;95;36;42;78;48;18;49;81;15;37;T0401;499;;
T0402;52;25;81;28;20;30;93;59;33;70;T0402;491;;
T0403;44;31;73;49;23;48;54;50;86;45;T0403;503;;
T0404;50;89;44;76;74;70;23;62;25;54;T0404;567;;
T0405;99;91;74;46;86;16;40;87;47;94;T0405;680;;
T0406;49;11;40;32;70;50;82;16;51;96;T0406;497;;
T0407;90;63;28;41;72;67;23;57;47;85;T0407;573;;
T0408;30;35;53;58;90;28;93;75;82;10;T0408;554;;
T0409;19;97;15;96;24;20;38;34;20;36;T0409;399;;
T0410;99;74;13;74;98;14;76;90;56;64;T0410;658;;
T0411;47;67;65;34;60;97;59;56;30;16;T0411;531;;
T0412;45;25;42;35;22;92;73;76;49;22;T0412;481;;
T0413;91;57;91;58;20;33;83;16;66;85;T0413;600;;
T0414;15;26;40;73;63;92;34;98;17;24;T0414;482;;
T0415;88;55;62;45;22;60;96;65;48;58;T0415;599;;
T0416;77;33;40;56;61;63;76;64;62;62;T0416;594;;
T0417;83;62;69;77;36;32;73;61;77;26;T0417;596;;
T0418;77;72;73;62;68;59;27;37;25;39;T0418;539;;
T0419;21;78;18;86;25;52;76;88;75;85;T0419;604;;
T0420;14;89;53;21;49;21;15;36;36;94;T0420;428;;
T0421;14;55;65;30;86;87;99;17;65;79;T0421;597;;
T0422;70;24;69;83;97;54;19;55;39;95;T0422;605;;
T0423;44;73;55;57;74;19;45;66;98;85;T0423;616;;
T0424;63;84;96;52;17;99;17;80;18;54;T0424;580;;
T0425;65;69;27;57;89;74;93;57;81;88;T0425;700;;
T0426;49;10;69;87;46;94;36;65;95;55;T0426;606;;
T0427;45;85;96;84;96;43;43;39;60;49;T0427;640;;
T0428;52;16;33;37;25;55;99;24;97;52;T0428;490;;
T0429;73;78;45;65;76;78;12;88;37;61;T0429;613;;
T0430;37;33;85;49;14;70;68;87;54;51;T0430;548;;
T0431;13;29;96;85;53;32;28;97;18;96;T0431;547;;
T0432;40;68;60;26;88;10;97;73;36;60;T0432;558;;
T0433;72;33;75;98;65;26;34;10;11;49;T0433;473;;
T0434;25;75;12;47;50;75;13;61;85;72;T0434;515;;
T0435;19;14;24;72;23;77;42;92;13;32;T0435;408;;
